Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,4
Crossover,One Point

Mutation,Creep
Step size,0.5,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,129.95488814960956,156.32971433674618,140.22860753599494,146.0559949503608,136.7725255999115,160.60171011009024,167.75872401271937,190.29744848344177,178.91452653902937,131.6254610210821,,,,153.85396007389858,129.95488814960956
Generation 2,144.2476302448893,124.15035637610427,145.4993870033176,121.22802674620348,140.22860753599494,131.6254610210821,129.95488814960956,129.95488814960956,127.79871359927421,133.78163557141744,,,,132.84695943975024,121.22802674620348
Generation 3,120.32360895429639,125.05477416801136,129.95488814960956,129.95488814960956,121.22802674620348,127.79871359927421,129.95488814960956,129.95488814960956,129.95488814960956,121.22802674620348,,,,126.54075909620369,120.32360895429639
Generation 4,120.32360895429639,120.32360895429639,120.32360895429639,121.22802674620348,124.15035637610427,121.22802674620348,129.95488814960956,120.32360895429639,121.22802674620348,121.22802674620348,,,,122.03117873277135,120.32360895429639
Generation 5,120.32360895429639,120.32360895429639,120.32360895429639,120.32360895429639,120.32360895429639,120.32360895429639,121.22802674620348,120.32360895429639,120.32360895429639,120.32360895429639,,,,120.41405073348707,120.32360895429639

Best Mean,120.41405073348707
Best Mean Generation,5

Lowest,120.32360895429639
Lowest Generation,3



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,172.86555505479592,131.77106427439236,181.91927265904977,134.50187634660836,132.76807233529615,192.5978739251037,159.5996051300346,159.5996051300346,198.78089207610645,138.3695838607632,,,,160.2773400792185,131.77106427439236
Generation 2,131.77106427439236,131.77106427439236,159.5996051300346,132.76807233529615,131.91226200142333,138.22838613373224,134.50187634660836,138.3695838607632,130.73293217668333,163.3685492999596,,,,139.30233958332855,130.73293217668333
Generation 3,128.58405694452537,133.91993950655035,122.263952744134,140.38124143397266,131.91226200142333,130.73293217668333,155.35991030835117,109.17922630133737,132.76807233529615,131.77106427439236,,,,131.68726580266662,109.17922630133737
Generation 4,99.67211477107898,131.77106427439236,109.17922630133737,109.17922630133737,109.17922630133737,109.17922630133737,109.17922630133737,109.17922630133737,127.40266242217766,112.50949605584304,,,,112.64306953315163,99.67211477107898
Generation 5,99.53091704404802,109.32042402836831,109.17922630133737,109.17922630133737,109.17922630133737,99.67211477107898,109.32042402836831,99.53091704404802,102.05527830048547,106.79606277193086,,,,105.37638168923402,99.53091704404802

Best Mean,105.37638168923402
Best Mean Generation,5

Lowest,99.53091704404802
Lowest Generation,5



Run 1
,Mean,Lowest
Generation 1,153.85396007389858,129.95488814960956
Generation 2,132.84695943975024,121.22802674620348
Generation 3,126.54075909620369,120.32360895429639
Generation 4,122.03117873277135,120.32360895429639
Generation 5,120.41405073348707,120.32360895429639

Best Mean,120.41405073348707
Best Mean Generation,5

Lowest,120.32360895429639
Lowest Generation,3


Run 2
,Mean,Lowest
Generation 1,160.2773400792185,131.77106427439236
Generation 2,139.30233958332855,130.73293217668333
Generation 3,131.68726580266662,109.17922630133737
Generation 4,112.64306953315163,99.67211477107898
Generation 5,105.37638168923402,99.53091704404802

Best Mean,105.37638168923402
Best Mean Generation,5

Lowest,99.53091704404802
Lowest Generation,5



2,2,:,3,0,:,5,0
