Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,2
Crossover,One Point

Mutation,Creep
Step size,0.5,Mutation Rate,0.01

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,211.25860098411994,215.60855497336757,120.96020194180721,116.1185805394613,165.9622704574277,186.5165120428735,148.59807892155158,173.30698094683848,159.1276910635588,201.63057622625573,,,,169.90880480972618,116.1185805394613
Generation 2,148.59807892155158,148.59807892155158,125.16017403410513,154.9277189712609,143.6637457470576,181.426215773929,130.08023950419403,106.9985429770745,120.96020194180721,120.96020194180721,,,,138.13731987343385,106.9985429770745
Generation 3,142.6610368904456,121.9629107984192,120.96020194180721,120.96020194180721,145.1715604149685,123.65235936619423,125.16017403410513,130.08023950419403,120.96020194180721,106.9985429770745,,,,125.85674298108229,106.9985429770745
Generation 4,120.96020194180721,120.96020194180721,120.96020194180721,120.96020194180721,120.96020194180721,142.6610368904456,123.65235936619423,120.96020194180721,121.9629107984192,106.9985429770745,,,,122.10360616829769,106.9985429770745
Generation 5,120.96020194180721,120.96020194180721,120.96020194180721,120.96020194180721,125.8744557260022,102.0842891928795,106.9985429770745,120.96020194180721,125.8744557260022,102.0842891928795,,,,116.7717042523874,102.0842891928795

Best Mean,116.7717042523874
Best Mean Generation,5

Lowest,102.0842891928795
Lowest Generation,5



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,107.90207410346366,220.99201792297595,201.16685057196645,149.59269415570182,168.3489676507532,201.7481797025356,148.5651699364418,221.58222808165448,171.3821759695831,140.45608989348509,,,,173.17364479885612,107.90207410346366
Generation 2,226.2559226200358,82.8130020553943,128.81033002701307,161.2384540221738,193.92469174064342,114.88036580359486,148.5651699364418,168.3489676507532,148.5651699364418,148.5651699364418,,,,152.19672437289339,82.8130020553943
Generation 3,138.65843585550934,105.03225997509861,148.5651699364418,114.88036580359486,82.8130020553943,82.8130020553943,114.88036580359486,148.5651699364418,114.88036580359486,148.5651699364418,,,,119.96533071615067,82.8130020553943
Generation 4,138.65843585550934,82.8130020553943,114.88036580359486,82.8130020553943,105.03225997509861,148.5651699364418,105.29889777111276,92.39447008787641,114.88036580359486,114.88036580359486,,,,110.02163351476119,82.8130020553943
Generation 5,114.88036580359486,92.39447008787641,105.03225997509861,92.39447008787641,82.8130020553943,92.39447008787641,92.39447008787641,92.39447008787641,82.8130020553943,82.8130020553943,,,,93.03239823842587,82.8130020553943

Best Mean,93.03239823842587
Best Mean Generation,5

Lowest,82.8130020553943
Lowest Generation,2



Run 1
,Mean,Lowest
Generation 1,169.90880480972618,116.1185805394613
Generation 2,138.13731987343385,106.9985429770745
Generation 3,125.85674298108229,106.9985429770745
Generation 4,122.10360616829769,106.9985429770745
Generation 5,116.7717042523874,102.0842891928795

Best Mean,116.7717042523874
Best Mean Generation,5

Lowest,102.0842891928795
Lowest Generation,5


Run 2
,Mean,Lowest
Generation 1,173.17364479885612,107.90207410346366
Generation 2,152.19672437289339,82.8130020553943
Generation 3,119.96533071615067,82.8130020553943
Generation 4,110.02163351476119,82.8130020553943
Generation 5,93.03239823842587,82.8130020553943

Best Mean,93.03239823842587
Best Mean Generation,5

Lowest,82.8130020553943
Lowest Generation,2



2,2,:,3,0,:,5,0
