Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,2
Crossover,One Point

Mutation,Creep
Step size,2,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,197.19487926368038,197.19487926368038,182.9751304345221,177.31623860819656,182.9751304345221,177.31623860819656,165.15998112523738,165.15998112523738,173.06165828223692,148.68429806266562,,,,176.70384152081755,148.68429806266562
Generation 2,155.46882088992345,158.37545829797955,155.26662937517293,182.95501003230137,158.37545829797955,155.46882088992345,165.15998112523738,173.06165828223692,165.62477078789146,148.2195084000115,,,,161.79761163786577,148.2195084000115
Generation 3,148.2195084000115,158.37545829797955,148.48210654791507,155.00403122726937,155.46882088992345,155.46882088992345,138.32615664994705,165.15998112523738,161.6796114859145,142.00871780402045,,,,152.8193213318142,138.32615664994705
Generation 4,148.48210654791507,155.46882088992345,155.00403122726937,155.00403122726937,138.32615664994705,148.2195084000115,148.2195084000115,148.7932406312783,155.46882088992345,155.00403122726937,,,,150.79902560908187,138.32615664994705
Generation 5,148.2195084000115,155.00403122726937,142.00871780402045,145.1106794772049,138.32615664994705,138.32615664994705,148.48210654791507,148.7932406312783,144.5484577977687,158.9376799774157,,,,146.77567351627778,138.32615664994705

Best Mean,146.77567351627778
Best Mean Generation,5

Lowest,138.32615664994705
Lowest Generation,3



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,160.6270390024219,172.68262401851513,146.66254653593654,205.0336103734894,147.43949888601838,202.83762774192257,180.409710876067,207.99351241366148,187.59865209224844,164.09750481717745,,,,177.53823267574583,146.66254653593654
Generation 2,173.34692363293186,190.1177431114126,149.43496882795665,184.8262298002283,153.3831614122539,165.96200914219776,146.66254653593654,147.43949888601838,165.96200914219776,145.57499456099808,,,,162.27100850521316,145.57499456099808
Generation 3,153.3831614122539,145.57499456099808,146.66254653593654,165.96200914219776,164.93234408563444,167.3333846006122,146.66254653593654,172.68262401851513,145.57499456099808,145.57499456099808,,,,155.43436000140804,145.57499456099808
Generation 4,145.57499456099808,145.57499456099808,146.66254653593654,146.66254653593654,145.57499456099808,145.57499456099808,146.66254653593654,153.3831614122539,145.57499456099808,146.66254653593654,,,,146.79083203609906,145.57499456099808
Generation 5,146.66254653593654,146.66254653593654,146.66254653593654,146.66254653593654,145.57499456099808,145.57499456099808,145.57499456099808,146.66254653593654,145.57499456099808,145.57499456099808,,,,146.1187705484673,145.57499456099808

Best Mean,146.1187705484673
Best Mean Generation,5

Lowest,145.57499456099808
Lowest Generation,2



Run 1
,Mean,Lowest
Generation 1,176.70384152081755,148.68429806266562
Generation 2,161.79761163786577,148.2195084000115
Generation 3,152.8193213318142,138.32615664994705
Generation 4,150.79902560908187,138.32615664994705
Generation 5,146.77567351627778,138.32615664994705

Best Mean,146.77567351627778
Best Mean Generation,5

Lowest,138.32615664994705
Lowest Generation,3


Run 2
,Mean,Lowest
Generation 1,177.53823267574583,146.66254653593654
Generation 2,162.27100850521316,145.57499456099808
Generation 3,155.43436000140804,145.57499456099808
Generation 4,146.79083203609906,145.57499456099808
Generation 5,146.1187705484673,145.57499456099808

Best Mean,146.1187705484673
Best Mean Generation,5

Lowest,145.57499456099808
Lowest Generation,2



2,2,:,3,0,:,5,0
