Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,2
Crossover,One Point

Mutation,Creep
Step size,0.5,Mutation Rate,0.2

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,139.85055554317086,156.71120527223633,148.26122827829397,137.98013463417794,133.87808778989498,133.87808778989498,125.15486126346413,171.4068995519431,174.9158724399815,133.87808778989498,,,,145.59150203529526,125.15486126346413
Generation 2,119.18239351018823,139.85055554317086,125.15486126346413,133.87808778989498,139.85055554317086,125.15486126346413,125.15486126346413,125.15486126346413,137.98013463417794,125.15486126346413,,,,129.65160333379237,119.18239351018823
Generation 3,119.18239351018823,119.18239351018823,119.18239351018823,125.15486126346413,119.18239351018823,125.15486126346413,125.15486126346413,119.18239351018823,125.15486126346413,125.15486126346413,,,,122.16862738682619,119.18239351018823
Generation 4,125.15486126346413,119.18239351018823,125.15486126346413,125.15486126346413,125.15486126346413,119.18239351018823,125.15486126346413,125.15486126346413,119.18239351018823,119.18239351018823,,,,122.76587416215375,119.18239351018823
Generation 5,125.15486126346413,119.18239351018823,125.15486126346413,119.18239351018823,125.15486126346413,119.18239351018823,125.15486126346413,119.18239351018823,125.15486126346413,125.15486126346413,,,,122.76587416215379,119.18239351018823

Best Mean,122.16862738682619
Best Mean Generation,3

Lowest,119.18239351018823
Lowest Generation,2



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,173.8756873663103,199.68492135545895,204.93947412122873,192.00334311584976,178.83594191520203,188.52234760494557,172.4340093907411,215.4208510719588,171.54737398565368,168.57629380057102,,,,186.58402437279196,168.57629380057102
Generation 2,192.00334311584976,168.57629380057102,188.52234760494557,171.54737398565368,178.64181219797825,166.7812491539857,173.8756873663103,168.57629380057102,175.13457087781302,208.64084515861776,,,,179.2299817062296,166.7812491539857
Generation 3,171.54737398565368,173.8756873663103,202.53245088813074,137.59121689809396,170.41655538450948,169.7071124017152,166.7812491539857,171.54737398565368,168.57629380057102,168.57629380057102,,,,170.11516076651947,137.59121689809396
Generation 4,169.7071124017152,168.57629380057102,171.54737398565368,166.7812491539857,141.33242133961468,194.02512161494207,168.57629380057102,169.7071124017152,170.41655538450948,168.57629380057102,,,,168.92458276838488,141.33242133961468
Generation 5,143.29958235157474,167.7399513897551,169.7071124017152,168.57629380057102,168.57629380057102,168.57629380057102,168.57629380057102,168.57629380057102,166.7812491539857,168.57629380057102,,,,165.89856581004568,143.29958235157474

Best Mean,165.89856581004568
Best Mean Generation,5

Lowest,137.59121689809396
Lowest Generation,3



Run 1
,Mean,Lowest
Generation 1,145.59150203529526,125.15486126346413
Generation 2,129.65160333379237,119.18239351018823
Generation 3,122.16862738682619,119.18239351018823
Generation 4,122.76587416215375,119.18239351018823
Generation 5,122.76587416215379,119.18239351018823

Best Mean,122.16862738682619
Best Mean Generation,3

Lowest,119.18239351018823
Lowest Generation,2


Run 2
,Mean,Lowest
Generation 1,186.58402437279196,168.57629380057102
Generation 2,179.2299817062296,166.7812491539857
Generation 3,170.11516076651947,137.59121689809396
Generation 4,168.92458276838488,141.33242133961468
Generation 5,165.89856581004568,143.29958235157474

Best Mean,165.89856581004568
Best Mean Generation,5

Lowest,137.59121689809396
Lowest Generation,3



2,2,:,2,9,:,5,9
