Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,2
Crossover,One Point

Mutation,Creep
Step size,1,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,134.87862107519678,170.47932515284663,124.05390936579673,226.7156329681426,170.2507214629951,185.73042199378318,162.65284468791626,142.70510154012715,174.99288001205628,192.13871482968023,,,,168.4598173088541,124.05390936579673
Generation 2,143.5386403949089,115.39389004608464,139.0347595633968,155.49847495524656,134.87862107519678,134.87862107519678,143.23978926964958,162.11815695839383,162.65284468791626,162.65284468791626,,,,145.38866427139064,115.39389004608464
Generation 3,143.23978926964958,143.23978926964958,115.39389004608464,134.87862107519678,147.245931996918,158.64670196064782,134.87862107519678,134.87862107519678,142.70510154012715,162.65284468791626,,,,141.77599119965834,115.39389004608464
Generation 4,143.23978926964958,115.39389004608464,143.23978926964958,146.71124426739559,134.87862107519678,134.87862107519678,148.07973863280677,110.55394068292742,79.3903621200887,170.8821490011927,,,,132.7248145440188,79.3903621200887
Generation 5,104.64946458302052,157.45566973045968,110.55394068292742,79.3903621200887,110.55394068292742,110.55394068292742,134.87862107519678,79.3903621200887,110.55394068292742,134.87862107519678,,,,113.28588634357607,79.3903621200887

Best Mean,113.28588634357607
Best Mean Generation,5

Lowest,79.3903621200887
Lowest Generation,4



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,129.39838475018706,199.2386747533398,144.03155755106974,184.6055019524572,161.4526170011052,152.83335262840353,166.89465983222917,108.33819508204222,185.16044354226574,130.25328886026648,,,,156.22066759533658,108.33819508204222
Generation 2,129.39838475018706,129.39838475018706,131.87306751377733,150.35866986481324,165.01335549015693,109.27149092117925,96.83726167272053,140.89931815950877,144.03155755106974,152.83335262840353,,,,134.9914843302003,96.83726167272053
Generation 3,129.39838475018706,108.33819508204222,153.3393030550074,128.89243432358316,109.27149092117925,109.27149092117925,115.47770907663826,160.42691598820878,96.83726167272053,96.83726167272053,,,,120.80904474634664,96.83726167272053
Generation 4,81.60599408291668,130.7089766664421,81.60599408291668,124.50275851098311,108.33819508204222,96.83726167272053,136.94394461786834,124.7335535191813,109.27149092117925,128.89243432358316,,,,112.34406034798334,81.60599408291668
Generation 5,120.0373463156763,86.07140627822349,108.33819508204222,82.53928992205371,94.83540579988333,96.0420792042126,81.60599408291668,96.83726167272053,96.83726167272053,96.83726167272053,,,,95.99815017031699,81.60599408291668

Best Mean,95.99815017031699
Best Mean Generation,5

Lowest,81.60599408291668
Lowest Generation,4



Run 1
,Mean,Lowest
Generation 1,168.4598173088541,124.05390936579673
Generation 2,145.38866427139064,115.39389004608464
Generation 3,141.77599119965834,115.39389004608464
Generation 4,132.7248145440188,79.3903621200887
Generation 5,113.28588634357607,79.3903621200887

Best Mean,113.28588634357607
Best Mean Generation,5

Lowest,79.3903621200887
Lowest Generation,4


Run 2
,Mean,Lowest
Generation 1,156.22066759533658,108.33819508204222
Generation 2,134.9914843302003,96.83726167272053
Generation 3,120.80904474634664,96.83726167272053
Generation 4,112.34406034798334,81.60599408291668
Generation 5,95.99815017031699,81.60599408291668

Best Mean,95.99815017031699
Best Mean Generation,5

Lowest,81.60599408291668
Lowest Generation,4



2,2,:,2,9,:,5,9
