Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,2
Crossover,One Point

Mutation,Creep
Step size,1,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,164.3892869096924,164.3892869096924,174.92488177946046,174.92488177946046,181.35319178308083,176.2032492125876,221.92969254491635,179.12848985987932,181.35319178308083,176.2032492125876,,,,179.4799401774438,164.3892869096924
Generation 2,183.74054095876193,171.59119811370493,184.0937675466095,155.22040114254332,201.41898779287789,149.70914319917014,176.2032492125876,176.2032492125876,153.2318088657115,186.08235982344132,,,,173.74947058679956,149.70914319917014
Generation 3,166.70716706400358,188.6245720084633,155.22040114254332,155.22040114254332,176.2032492125876,183.74054095876193,162.16360104022095,164.6479982160273,155.22040114254332,153.2318088657115,,,,166.09801407934066,153.2318088657115
Generation 4,155.22040114254332,153.2318088657115,153.64203399974173,163.74196818302255,145.35926580199336,193.60167629931186,153.2318088657115,155.22040114254332,155.22040114254332,153.2318088657115,,,,158.17015743088342,145.35926580199336
Generation 5,153.2318088657115,153.2318088657115,153.2318088657115,153.2318088657115,153.2318088657115,153.2318088657115,153.2318088657115,153.2318088657115,153.2318088657115,153.2318088657115,,,,153.23180886571154,153.2318088657115

Best Mean,153.23180886571154
Best Mean Generation,5

Lowest,145.35926580199336
Lowest Generation,4



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,123.5768729977815,195.54480113331903,163.3556999147189,126.79470378011581,179.81994849666938,162.19452210601264,134.82904754592758,157.72184401750906,139.98839040577784,127.26921681747541,,,,151.10950472153073,123.5768729977815
Generation 2,171.96022655026238,109.33849046502819,123.5768729977815,162.19452210601264,123.5768729977815,127.26921681747541,139.98839040577784,134.82904754592758,120.10308224083792,141.5206690852055,,,,135.43573912120905,109.33849046502819
Generation 3,122.04189033722847,167.42184858625956,108.85090769269185,134.82904754592758,108.8365555505509,134.84339968806853,123.5768729977815,109.33849046502819,123.5768729977815,123.5768729977815,,,,125.68927588590995,108.8365555505509
Generation 4,123.59122513992247,108.8365555505509,114.0782341729388,118.34954651753458,109.33849046502819,109.33849046502819,108.8365555505509,109.33849046502819,108.8365555505509,134.82904754592758,,,,114.53731914230605,108.8365555505509
Generation 5,108.8365555505509,109.33849046502819,108.8365555505509,108.8365555505509,109.33849046502819,109.33849046502819,108.8365555505509,109.33849046502819,108.8365555505509,109.33849046502819,,,,109.08752300778954,108.8365555505509

Best Mean,109.08752300778954
Best Mean Generation,5

Lowest,108.8365555505509
Lowest Generation,3



Run 1
,Mean,Lowest
Generation 1,179.4799401774438,164.3892869096924
Generation 2,173.74947058679956,149.70914319917014
Generation 3,166.09801407934066,153.2318088657115
Generation 4,158.17015743088342,145.35926580199336
Generation 5,153.23180886571154,153.2318088657115

Best Mean,153.23180886571154
Best Mean Generation,5

Lowest,145.35926580199336
Lowest Generation,4


Run 2
,Mean,Lowest
Generation 1,151.10950472153073,123.5768729977815
Generation 2,135.43573912120905,109.33849046502819
Generation 3,125.68927588590995,108.8365555505509
Generation 4,114.53731914230605,108.8365555505509
Generation 5,109.08752300778954,108.8365555505509

Best Mean,109.08752300778954
Best Mean Generation,5

Lowest,108.8365555505509
Lowest Generation,3



2,2,:,3,6,:,2,2
