Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,8
Crossover,One Point

Mutation,Creep
Step size,0.5,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,143.76837697457415,143.76837697457415,143.76837697457415,143.76837697457415,143.76837697457415,143.76837697457415,132.57193790239538,163.1848452236401,143.76837697457415,143.76837697457415,,,,144.59037989226286,132.57193790239538
Generation 2,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,,,,132.57193790239538,132.57193790239538
Generation 3,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,,,,132.57193790239538,132.57193790239538
Generation 4,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,,,,132.57193790239538,132.57193790239538
Generation 5,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,132.57193790239538,,,,132.57193790239538,132.57193790239538

Best Mean,132.57193790239538
Best Mean Generation,2

Lowest,132.57193790239538
Lowest Generation,1



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,141.94279476457456,141.94279476457456,141.94279476457456,141.94279476457456,140.0356833767143,146.53557710854412,141.94279476457456,141.94279476457456,144.62846572068383,141.94279476457456,,,,142.47992895579642,140.0356833767143
Generation 2,140.0356833767143,140.0356833767143,140.0356833767143,140.0356833767143,141.94279476457456,140.0356833767143,141.94279476457456,140.0356833767143,140.0356833767143,141.94279476457456,,,,140.60781679307237,140.0356833767143
Generation 3,140.0356833767143,140.0356833767143,140.0356833767143,140.0356833767143,140.0356833767143,140.0356833767143,140.0356833767143,140.0356833767143,140.0356833767143,140.0356833767143,,,,140.03568337671433,140.0356833767143
Generation 4,140.0356833767143,140.0356833767143,140.0356833767143,140.0356833767143,140.0356833767143,140.0356833767143,140.0356833767143,140.0356833767143,140.0356833767143,140.0356833767143,,,,140.03568337671433,140.0356833767143
Generation 5,140.0356833767143,140.0356833767143,140.0356833767143,140.0356833767143,140.0356833767143,140.0356833767143,140.0356833767143,140.0356833767143,140.0356833767143,140.0356833767143,,,,140.03568337671433,140.0356833767143

Best Mean,140.03568337671433
Best Mean Generation,3

Lowest,140.0356833767143
Lowest Generation,1



Run 1
,Mean,Lowest
Generation 1,144.59037989226286,132.57193790239538
Generation 2,132.57193790239538,132.57193790239538
Generation 3,132.57193790239538,132.57193790239538
Generation 4,132.57193790239538,132.57193790239538
Generation 5,132.57193790239538,132.57193790239538

Best Mean,132.57193790239538
Best Mean Generation,2

Lowest,132.57193790239538
Lowest Generation,1


Run 2
,Mean,Lowest
Generation 1,142.47992895579642,140.0356833767143
Generation 2,140.60781679307237,140.0356833767143
Generation 3,140.03568337671433,140.0356833767143
Generation 4,140.03568337671433,140.0356833767143
Generation 5,140.03568337671433,140.0356833767143

Best Mean,140.03568337671433
Best Mean Generation,3

Lowest,140.0356833767143
Lowest Generation,1



2,2,:,3,6,:,2,2
