Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,4
Crossover,One Point

Mutation,Creep
Step size,0.5,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,150.44135617427028,150.44135617427028,198.176486189983,137.06893486252096,135.93018210753084,177.1104810092216,120.96604414461304,192.07461897213938,150.44135617427028,158.74370727832326,,,,157.1394523087143,120.96604414461304
Generation 2,135.93018210753084,135.93018210753084,146.37826281174208,126.6208541583097,107.24409654445489,150.7908824626791,120.96604414461304,120.96604414461304,135.93018210753084,120.96604414461304,,,,130.17227747336173,107.24409654445489
Generation 3,106.68446853670466,121.52567215236328,120.96604414461304,120.96604414461304,120.96604414461304,120.96604414461304,119.38073591436056,108.82940477470738,107.24409654445489,120.96604414461304,,,,116.8494598645656,106.68446853670466
Generation 4,106.68446853670466,106.68446853670466,106.68446853670466,106.68446853670466,106.68446853670466,106.68446853670466,120.92775312616774,93.0008119549918,106.68446853670466,108.82940477470738,,,,106.95492496127997,93.0008119549918
Generation 5,106.68446853670466,106.68446853670466,106.68446853670466,106.68446853670466,106.68446853670466,106.68446853670466,106.68446853670466,106.68446853670466,93.0008119549918,106.68446853670466,,,,105.31610287853339,93.0008119549918

Best Mean,105.31610287853339
Best Mean Generation,5

Lowest,93.0008119549918
Lowest Generation,4



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,214.03517644730346,188.4332196837193,212.40193319750819,190.06646293351457,219.77488812217194,206.95771012990335,237.40593322832257,166.8371104371118,238.299378568356,166.8371104371118,,,,204.10489231850227,166.8371104371118
Generation 2,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,,,,166.83711043711176,166.8371104371118
Generation 3,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,,,,166.83711043711176,166.8371104371118
Generation 4,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,,,,166.83711043711176,166.8371104371118
Generation 5,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,166.8371104371118,,,,166.83711043711176,166.8371104371118

Best Mean,166.83711043711176
Best Mean Generation,2

Lowest,166.8371104371118
Lowest Generation,1



Run 1
,Mean,Lowest
Generation 1,157.1394523087143,120.96604414461304
Generation 2,130.17227747336173,107.24409654445489
Generation 3,116.8494598645656,106.68446853670466
Generation 4,106.95492496127997,93.0008119549918
Generation 5,105.31610287853339,93.0008119549918

Best Mean,105.31610287853339
Best Mean Generation,5

Lowest,93.0008119549918
Lowest Generation,4


Run 2
,Mean,Lowest
Generation 1,204.10489231850227,166.8371104371118
Generation 2,166.83711043711176,166.8371104371118
Generation 3,166.83711043711176,166.8371104371118
Generation 4,166.83711043711176,166.8371104371118
Generation 5,166.83711043711176,166.8371104371118

Best Mean,166.83711043711176
Best Mean Generation,2

Lowest,166.8371104371118
Lowest Generation,1



2,2,:,3,6,:,2,2
