Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,2
Crossover,One Point

Mutation,Creep
Step size,0.5,Mutation Rate,0.2

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,149.99540114318208,133.29578439475506,155.77849342888925,155.77849342888925,127.51269210904792,155.77849342888925,154.27922647984536,218.84166438910546,155.77849342888925,190.65422794623544,,,,159.76929701777286,127.51269210904792
Generation 2,149.99540114318208,149.99540114318208,149.99540114318208,154.27922647984536,127.51269210904792,149.99540114318208,155.77849342888925,155.77849342888925,154.92036574078102,155.1373541679536,,,,150.3388229928135,127.51269210904792
Generation 3,159.96326731012698,145.1694880010087,149.99540114318208,127.51269210904792,149.99540114318208,149.99540114318208,155.1373541679536,149.99540114318208,149.99540114318208,149.99540114318208,,,,148.77552084472296,127.51269210904792
Generation 4,149.99540114318208,149.99540114318208,149.99540114318208,149.99540114318208,149.99540114318208,149.99540114318208,122.68677896687453,149.99540114318208,131.00601648499463,151.6440297920069,,,,145.53046332461506,122.68677896687453
Generation 5,149.99540114318208,149.99540114318208,149.99540114318208,149.99540114318208,146.1204469445164,107.57234850735277,149.99540114318208,149.99540114318208,127.51269210904792,145.1694880010087,,,,142.63473824210183,107.57234850735277

Best Mean,142.63473824210183
Best Mean Generation,5

Lowest,107.57234850735277
Lowest Generation,5



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,173.961645956645,156.71148881306115,165.73560079342906,151.42536783167742,132.583222787652,207.98490611822587,172.5939402697308,144.56702835537567,168.8641899800556,168.8641899800556,,,,164.32915808859084,132.583222787652
Generation 2,176.6752777026278,152.6301513801642,111.52049924199012,189.7580179264467,119.91773205631692,181.5296807113907,156.71148881306115,156.71148881306115,144.56702835537567,173.961645956645,,,,156.39830109570795,111.52049924199012
Generation 3,167.3813234702335,183.2556001890393,156.71148881306115,156.71148881306115,156.71148881306115,152.6301513801642,119.91773205631692,144.56702835537567,181.5296807113907,173.961645956645,,,,159.33776285583488,119.91773205631692
Generation 4,160.33145515020237,116.29776571917571,149.98139269711945,180.6917420725867,154.57008003546994,109.91468037622263,137.04420250298355,164.23431466545327,119.91773205631692,119.91773205631692,,,,141.29010973318475,109.91468037622263
Generation 5,109.91468037622263,154.57008003546994,116.29776571917571,119.91773205631692,157.76016062117264,102.13591245216944,107.9005329048489,145.44143531731035,153.60135903426067,133.42423616584233,,,,130.09638946827897,102.13591245216944

Best Mean,130.09638946827897
Best Mean Generation,5

Lowest,102.13591245216944
Lowest Generation,5



Run 1
,Mean,Lowest
Generation 1,159.76929701777286,127.51269210904792
Generation 2,150.3388229928135,127.51269210904792
Generation 3,148.77552084472296,127.51269210904792
Generation 4,145.53046332461506,122.68677896687453
Generation 5,142.63473824210183,107.57234850735277

Best Mean,142.63473824210183
Best Mean Generation,5

Lowest,107.57234850735277
Lowest Generation,5


Run 2
,Mean,Lowest
Generation 1,164.32915808859084,132.583222787652
Generation 2,156.39830109570795,111.52049924199012
Generation 3,159.33776285583488,119.91773205631692
Generation 4,141.29010973318475,109.91468037622263
Generation 5,130.09638946827897,102.13591245216944

Best Mean,130.09638946827897
Best Mean Generation,5

Lowest,102.13591245216944
Lowest Generation,5



2,2,:,3,6,:,2,2
