Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,2
Crossover,One Point

Mutation,Creep
Step size,1,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,142.72630462958588,143.42374668301505,164.89321050152833,155.0224465719071,180.1657505241413,164.90353906847162,154.1392541987936,147.57008748337952,163.5935945286949,166.16555140309634,,,,158.26034855926133,142.72630462958588
Generation 2,131.65054157136973,154.49950974123124,168.5762886243221,121.72010348864328,147.6250609657422,149.24049786263726,139.0006775148168,158.74807368667618,193.6097176008555,117.55396441121889,,,,148.22244354675132,117.55396441121889
Generation 3,123.96250494176802,156.928534492239,91.70398041648265,147.57008748337952,121.72010348864328,147.6250609657422,132.24365180019845,121.12699325981455,136.54929790752604,142.72630462958588,,,,132.21565193853797,91.70398041648265
Generation 4,126.08650052251389,131.5897906448267,91.70398041648265,142.72630462958588,125.50808487156033,98.43954734512077,121.12699325981455,136.54929790752604,121.12699325981455,123.96250494176802,,,,121.88199977990132,91.70398041648265
Generation 5,91.70398041648265,136.54929790752604,121.12699325981455,121.12699325981455,121.03365126282898,130.56093413124526,99.06517650971551,118.72530442928104,101.85181800384638,115.36024728419662,,,,115.71043964647518,91.70398041648265

Best Mean,115.71043964647518
Best Mean Generation,5

Lowest,91.70398041648265
Lowest Generation,3



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,215.4340446296188,175.13951298144667,128.74266551808404,203.1794332008591,183.080438008785,140.3127688678003,165.2257646419219,158.1674422346634,179.7119251195533,180.43962712741512,,,,172.94336223301474,128.74266551808404
Generation 2,140.3127688678003,197.56659848641647,154.14549068545205,154.3090999521853,140.3127688678003,128.74266551808404,154.972034520312,168.4211723562733,128.74266551808404,128.74266551808404,,,,149.6267930290492,128.74266551808404
Generation 3,128.74266551808404,128.74266551808404,128.74266551808404,140.3127688678003,128.74266551808404,140.3127688678003,128.74266551808404,154.14549068545205,143.681281757032,125.37415262885234,,,,134.7539790397357,125.37415262885234
Generation 4,125.37415262885234,143.681281757032,140.3127688678003,125.37415262885234,140.3127688678003,140.3127688678003,128.74266551808404,128.74266551808404,110.88799215122093,143.22882599571545,,,,132.6970042801242,110.88799215122093
Generation 5,162.63027757648118,91.4865405704552,106.42515680940316,162.63027757648118,128.74266551808404,110.88799215122093,128.74266551808404,125.37415262885234,125.37415262885234,128.74266551808404,,,,127.10365464959986,91.4865405704552

Best Mean,127.10365464959986
Best Mean Generation,5

Lowest,91.4865405704552
Lowest Generation,5



Run 1
,Mean,Lowest
Generation 1,158.26034855926133,142.72630462958588
Generation 2,148.22244354675132,117.55396441121889
Generation 3,132.21565193853797,91.70398041648265
Generation 4,121.88199977990132,91.70398041648265
Generation 5,115.71043964647518,91.70398041648265

Best Mean,115.71043964647518
Best Mean Generation,5

Lowest,91.70398041648265
Lowest Generation,3


Run 2
,Mean,Lowest
Generation 1,172.94336223301474,128.74266551808404
Generation 2,149.6267930290492,128.74266551808404
Generation 3,134.7539790397357,125.37415262885234
Generation 4,132.6970042801242,110.88799215122093
Generation 5,127.10365464959986,91.4865405704552

Best Mean,127.10365464959986
Best Mean Generation,5

Lowest,91.4865405704552
Lowest Generation,5



2,2,:,3,9,:,5,4
