Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,2
Crossover,One Point

Mutation,Creep
Step size,0.5,Mutation Rate,0.2

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,140.95477260406784,164.2436317505264,202.97625414630892,202.31749230669794,207.31756978413517,129.82728447301665,159.6828524375521,177.46200181959975,136.2854480415698,188.23752402328824,,,,170.93048313867627,129.82728447301665
Generation 2,184.90192874823776,159.029098002139,129.82728447301665,188.23752402328824,148.66292878860133,145.4079874349417,136.2854480415698,129.82728447301665,136.2854480415698,136.2854480415698,,,,149.47503800679505,129.82728447301665
Generation 3,129.82728447301665,129.82728447301665,145.4079874349417,129.82728447301665,136.2854480415698,184.90192874823776,136.2854480415698,129.82728447301665,129.82728447301665,129.82728447301665,,,,138.18445191044188,129.82728447301665
Generation 4,129.82728447301665,129.82728447301665,129.82728447301665,129.82728447301665,129.82728447301665,129.82728447301665,129.82728447301665,129.82728447301665,129.82728447301665,129.82728447301665,,,,129.82728447301662,129.82728447301665
Generation 5,129.82728447301665,129.82728447301665,129.82728447301665,129.82728447301665,129.82728447301665,129.82728447301665,129.82728447301665,129.82728447301665,129.82728447301665,129.82728447301665,,,,129.82728447301662,129.82728447301665

Best Mean,129.82728447301662
Best Mean Generation,4

Lowest,129.82728447301665
Lowest Generation,1



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,152.23449578036843,168.26479711486448,160.14904516307652,193.4588885413287,168.26479711486448,168.26479711486448,159.54955524984513,163.69947205274525,185.98860471827925,122.3720061886778,,,,164.22464590389146,122.3720061886778
Generation 2,196.8988875209169,152.78918925010763,152.23449578036843,122.3720061886778,183.62539851041817,144.18895385429144,160.14904516307652,185.98860471827925,168.26479711486448,168.26479711486448,,,,163.47761752158652,122.3720061886778
Generation 3,152.78918925010763,168.26479711486448,137.27316201426248,137.88803342452294,137.71578434300156,137.44541109578384,126.86989952662378,185.5838514425322,155.09089569260968,127.43015565914462,,,,146.63511795634534,126.86989952662378
Generation 4,135.8343889949933,128.8689286784138,116.86827006197682,147.27479147890946,127.43015565914462,127.43015565914462,137.27316201426248,137.27316201426248,140.29242611074238,114.00762907502602,,,,131.25530697468758,114.00762907502602
Generation 5,110.1614021152667,132.71515563817312,104.00599961037904,147.27479147890946,137.27316201426248,127.43015565914462,123.81077920794696,140.89253846546015,118.58073352550068,122.85705120866996,,,,126.50017689237131,104.00599961037904

Best Mean,126.50017689237131
Best Mean Generation,5

Lowest,104.00599961037904
Lowest Generation,5



Run 1
,Mean,Lowest
Generation 1,170.93048313867627,129.82728447301665
Generation 2,149.47503800679505,129.82728447301665
Generation 3,138.18445191044188,129.82728447301665
Generation 4,129.82728447301662,129.82728447301665
Generation 5,129.82728447301662,129.82728447301665

Best Mean,129.82728447301662
Best Mean Generation,4

Lowest,129.82728447301665
Lowest Generation,1


Run 2
,Mean,Lowest
Generation 1,164.22464590389146,122.3720061886778
Generation 2,163.47761752158652,122.3720061886778
Generation 3,146.63511795634534,126.86989952662378
Generation 4,131.25530697468758,114.00762907502602
Generation 5,126.50017689237131,104.00599961037904

Best Mean,126.50017689237131
Best Mean Generation,5

Lowest,104.00599961037904
Lowest Generation,5



2,2,:,2,7,:,0,9
