Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,8
Crossover,One Point

Mutation,Creep
Step size,0.5,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,166.05053221693694,131.8431527326009,,,,135.2638906810345,131.8431527326009
Generation 2,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,,,,131.84315273260088,131.8431527326009
Generation 3,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,,,,131.84315273260088,131.8431527326009
Generation 4,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,,,,131.84315273260088,131.8431527326009
Generation 5,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,131.8431527326009,,,,131.84315273260088,131.8431527326009

Best Mean,131.84315273260088
Best Mean Generation,2

Lowest,131.8431527326009
Lowest Generation,1



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,166.69429939195572,166.69429939195572,,,,155.41323544574692,152.59296945919473
Generation 2,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,,,,152.59296945919476,152.59296945919473
Generation 3,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,,,,152.59296945919476,152.59296945919473
Generation 4,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,,,,152.59296945919476,152.59296945919473
Generation 5,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,152.59296945919473,,,,152.59296945919476,152.59296945919473

Best Mean,152.59296945919476
Best Mean Generation,2

Lowest,152.59296945919473
Lowest Generation,1



Run 1
,Mean,Lowest
Generation 1,135.2638906810345,131.8431527326009
Generation 2,131.84315273260088,131.8431527326009
Generation 3,131.84315273260088,131.8431527326009
Generation 4,131.84315273260088,131.8431527326009
Generation 5,131.84315273260088,131.8431527326009

Best Mean,131.84315273260088
Best Mean Generation,2

Lowest,131.8431527326009
Lowest Generation,1


Run 2
,Mean,Lowest
Generation 1,155.41323544574692,152.59296945919473
Generation 2,152.59296945919476,152.59296945919473
Generation 3,152.59296945919476,152.59296945919473
Generation 4,152.59296945919476,152.59296945919473
Generation 5,152.59296945919476,152.59296945919473

Best Mean,152.59296945919476
Best Mean Generation,2

Lowest,152.59296945919473
Lowest Generation,1



2,2,:,2,7,:,0,9
