Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,2
Crossover,One Point

Mutation,Creep
Step size,0.5,Mutation Rate,0.01

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,174.73096848582884,131.42557147610628,195.74590888601702,163.96360940540393,167.61793083675116,178.576231169574,145.6149166737768,186.43056300533624,164.8346367395912,183.60994883620978,,,,169.2550285514595,131.42557147610628
Generation 2,142.3350925296996,167.24343354948113,145.6149166737768,145.6149166737768,164.8346367395912,178.576231169574,163.96360940540393,163.96360940540393,152.69702821893077,176.10121792606435,,,,160.09446922917022,142.3350925296996
Generation 3,145.6149166737768,145.6149166737768,139.21328456645855,170.36524151272218,145.6149166737768,145.6149166737768,151.82530961885945,169.8908249809817,150.36150802705123,144.67061272157912,,,,150.87864481227595,139.21328456645855
Generation 4,145.6149166737768,145.6149166737768,163.96360940540393,119.92028788263376,139.21328456645855,139.21328456645855,150.36150802705123,139.21328456645855,146.3748459604083,143.91068343494763,,,,143.34006217573742,119.92028788263376
Generation 5,139.21328456645855,119.92028788263376,139.21328456645855,119.92028788263376,145.58178731017372,140.00634321669312,119.92028788263376,139.21328456645855,139.21328456645855,139.21328456645855,,,,134.14154170070606,119.92028788263376

Best Mean,134.14154170070606
Best Mean Generation,5

Lowest,119.92028788263376
Lowest Generation,4



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,151.9488253933566,137.3731372971319,192.77514444830896,170.56981899473453,144.5801017610107,213.90666305761295,123.8133902459069,152.16200978453955,112.30703317569476,191.86398688030954,,,,159.13001110386065,112.30703317569476
Generation 2,172.2902830392618,103.68511699118467,231.0412712398804,98.19585293756113,143.17638387127928,153.56572767427096,151.9488253933566,137.3731372971319,123.8133902459069,123.8133902459069,,,,143.89033789357407,98.19585293756113
Generation 3,123.8133902459069,123.8133902459069,137.3731372971319,137.3731372971319,139.0783463980244,107.78315446443958,113.53216801260922,127.52608627570736,133.66044126733146,162.44323201783726,,,,130.6396483522027,107.78315446443958
Generation 4,123.8133902459069,123.8133902459069,123.8133902459069,123.8133902459069,107.78315446443958,137.3731372971319,123.8133902459069,123.8133902459069,103.68511699118467,127.91142771916182,,,,121.96331779473594,103.68511699118467
Generation 5,103.68511699118467,103.68511699118467,123.8133902459069,123.8133902459069,103.68511699118467,127.91142771916182,102.11521045137272,129.48133425897376,123.8133902459069,123.8133902459069,,,,116.58168843866899,102.11521045137272

Best Mean,116.58168843866899
Best Mean Generation,5

Lowest,98.19585293756113
Lowest Generation,2



Run 1
,Mean,Lowest
Generation 1,169.2550285514595,131.42557147610628
Generation 2,160.09446922917022,142.3350925296996
Generation 3,150.87864481227595,139.21328456645855
Generation 4,143.34006217573742,119.92028788263376
Generation 5,134.14154170070606,119.92028788263376

Best Mean,134.14154170070606
Best Mean Generation,5

Lowest,119.92028788263376
Lowest Generation,4


Run 2
,Mean,Lowest
Generation 1,159.13001110386065,112.30703317569476
Generation 2,143.89033789357407,98.19585293756113
Generation 3,130.6396483522027,107.78315446443958
Generation 4,121.96331779473594,103.68511699118467
Generation 5,116.58168843866899,102.11521045137272

Best Mean,116.58168843866899
Best Mean Generation,5

Lowest,98.19585293756113
Lowest Generation,2



2,2,:,2,7,:,0,9
